entity_text,Sentiment_Label,sentiment_bert,count
kk,Negative,negative,1
know hour,Positive,positive,1
korean,Positive,positive,1
kransom,Positive,negative,1
kringlecon,Positive,negative,1
la hackthebox,Positive,negative,1
larry,Positive,negative,2
last august,Positive,negative,1
last couple year,Positive,negative,1
last friday,Negative,negative,1
last hour,Negative,negative,1
last hour,Positive,negative,1
last ish year,Positive,negative,1
last month,Positive,negative,3
last month,Positive,positive,1
last night,Positive,negative,1
last seven year,Positive,negative,1
last two year,Negative,negative,1
last week,Negative,negative,2
last week,Neutral,negative,1
last week,Positive,negative,8
last year,Negative,negative,1
last year,Neutral,negative,1
last year,Positive,negative,11
last year,Positive,positive,2
last year two,Positive,negative,1
late last year,Positive,negative,1
late million,Negative,negative,1
less month,Positive,negative,1
less two week,Positive,negative,1
less week,Positive,negative,1
less week ago,Positive,negative,1
less year,Positive,negative,1
lesson defender,Positive,negative,1
liken security,Positive,negative,1
linkedin group,Positive,negative,1
little decade,Positive,negative,1
log analyst correlate data log information someone,Positive,negative,1
logon authenticationpackagentlm,Negative,negative,1
london,Positive,negative,1
los angeles,Positive,negative,1
los angeles,Positive,positive,1
lou rabon,Positive,positive,1
lou rabon uloucdg,Positive,positive,1
louis postdispatch,Negative,negative,1
mac io,Negative,negative,1
macintosh,Positive,negative,1
macos,Positive,negative,1
macos backdoor,Negative,negative,1
mafia,Negative,negative,1
magic,Positive,negative,1
many hour,Positive,negative,1
many many hour,Positive,negative,1
many year,Negative,negative,1
many year,Positive,negative,1
marine corp infantry,Positive,negative,1
mark cv,Positive,negative,1
mason,Positive,positive,1
maybe half day,Positive,negative,1
maybe month ago,Positive,negative,1
maybe month half later,Positive,negative,1
md,Positive,negative,1
meaning year,Positive,negative,1
mere minute,Positive,negative,1
michael bazzell hacker,Positive,negative,1
michael coates,Positive,positive,1
microsoft,Negative,negative,7
microsoft,Neutral,negative,1
microsoft,Positive,negative,7
microsoft cybersecurity,Positive,positive,1
microsoft documentation,Negative,negative,1
microsoft plz default poc utilizes,Negative,negative,1
microsoft security bulletin,Positive,negative,1
microsoft software development,Positive,positive,1
midnight,Positive,negative,1
midnovember,Negative,negative,1
million,Negative,negative,2
million,Neutral,negative,1
million,Positive,negative,11
million,Positive,positive,1
million dollar,Positive,negative,1
misc,Negative,negative,1
missouri,Negative,negative,1
mit university,Positive,negative,1
mitre attck,Positive,negative,3
mitre cveid,Negative,negative,1
mne e effb edee,Positive,negative,1
mod gchq,Positive,negative,1
monday,Negative,negative,1
monday,Positive,negative,7
month,Negative,negative,1
month,Positive,negative,9
month ago,Negative,negative,3
month ago,Positive,negative,1
month ago later,Negative,negative,1
month summer,Negative,negative,1
month year,Positive,negative,1
monthly,Negative,negative,1
monthly,Positive,negative,4
morning,Negative,negative,1
morning,Positive,negative,3
moroccan,Neutral,negative,1
mount mount,Negative,negative,1
msc compsci,Positive,negative,1
msc cybersecurity month,Positive,negative,1
msp year,Positive,negative,1
mssamr protocol microsoft,Positive,negative,1
multibillion dollar,Positive,negative,1
multimillion dollar,Positive,negative,1
multiweek,Positive,negative,1
nan,Neutral,positive,392
nasa msi,Positive,negative,1
navy,Positive,negative,1
nbob,Negative,negative,1
nbtscan,Negative,negative,1
nca ministry,Positive,negative,1
nda,Positive,positive,1
nearly year,Positive,negative,1
netherlands,Positive,negative,1
netsec,Positive,positive,1
netsec hourlong meeting,Positive,negative,1
netsec pentest,Positive,negative,1
networktransport orand,Positive,negative,1
new twopart,Negative,negative,1
new year,Positive,negative,1
new york,Positive,negative,1
